Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_libraries,near_policestation,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built,near_hospital,near_private_school,near_elementary_school,near_high_school,near_college
20242037,280000,0.601,0,1,91.0,0,1,0,0,0,780,1.0,5,3,0,1,1,1,0,0,0,1.0,2,2.0,1971,1,0,1,0,0
22347001,192000,0.2799,0,0,97.0,0,0,0,0,0,1024,1.0,6,4,0,0,0,0,0,0,0,1.0,3,1.5,2002,1,0,1,0,0
119063010,50000,0.2183,0,1,23.0,0,0,0,0,0,810,1.0,6,4,0,1,1,1,0,0,1,1.0,2,1.5,1981,1,0,1,0,0
119063011,250000,0.1604,0,1,23.0,0,0,0,0,0,480,1.0,6,1,0,0,0,1,0,0,0,1.0,2,1.0,1975,1,0,1,0,0
120017066,279950,0.5,0,0,24.0,0,1,0,0,0,1125,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.0,1990,1,1,1,0,0
121023036,275000,0.1899,0,0,149.0,0,1,0,0,0,1064,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.5,1982,1,1,1,1,0
121028020,185330,0.4699,0,0,149.0,0,1,0,0,0,2356,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1988,1,1,1,1,1
121028061,470000,0.6899,0,0,149.0,0,1,0,0,0,1539,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,2005,1,1,1,1,1
121104026,657500,0.6701,1,0,149.0,0,1,0,0,0,2141,1.0,6,4,0,0,0,0,0,0,1,1.0,3,2.75,1988,1,1,1,1,0
121147025,355000,0.5012,0,0,149.0,0,0,0,0,0,1212,1.0,6,5,0,0,0,1,1,0,0,1.0,3,2.0,1992,1,1,1,1,1
121223009,100000,0.26,0,0,149.0,0,1,0,0,0,1229,1.0,6,3,0,0,0,1,0,0,1,1.0,2,2.0,1993,1,1,1,1,0
121238006,350000,0.58,0,0,149.0,0,1,0,0,0,1580,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1986,1,1,1,1,1
