Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
6532510080,357000,0.3512,0,0,451.0,1911,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.25,1991
6532510190,420000,0.3053,0,0,451.0,2076,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1987
6532520670,318000,0.3305,0,0,451.0,1994,1.0,6,5,0,0,0,1,1,0,1,2.0,5,2.5,1987
6535600280,540000,0.3675,1,0,1351.0,2541,1.0,6,8,0,0,0,1,1,0,1,2.0,3,2.75,1994
6550200750,380000,0.1147,0,0,943.0,2106,1.0,6,5,0,0,0,0,0,0,1,1.5,4,2.25,2000
6570000513,385000,0.3023,0,0,56.0,1864,1.0,6,5,0,0,0,0,0,1,0,1.0,3,2.5,1983
6590000575,280000,0.1606,0,0,943.0,1629,1.0,6,4,0,0,0,1,1,0,0,2.0,5,1.75,1997
6590000671,303000,0.2755,0,0,943.0,2610,1.0,5,3,0,0,0,0,0,0,1,2.5,3,1.75,1975
6595200560,270625,0.1147,0,0,1054.0,1068,1.0,6,2,0,0,0,0,0,0,0,1.0,2,1.0,1965
6603100070,337950,0.1652,0,0,46.0,1873,1.0,6,4,0,0,0,1,0,0,1,2.0,4,1.75,1999
6610000700,363000,0.1469,0,0,1054.0,1504,1.0,6,5,0,0,0,1,0,0,1,1.0,3,1.5,1980
6610000730,315000,0.1434,0,0,1054.0,1116,1.0,6,5,1,0,0,1,1,0,1,1.0,3,1.0,1978
6610001092,310000,0.1721,0,0,1054.0,900,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.0,1984
6615000580,245000,0.1423,0,0,943.0,1539,1.0,6,4,0,0,0,1,0,1,1,1.5,3,1.0,1972
6640000523,280000,0.206,0,0,943.0,1236,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.25,1984
6640000802,273000,0.2272,0,0,943.0,1704,1.0,6,4,0,0,0,1,1,0,0,2.0,3,2.5,1995
6640000899,297500,0.1262,0,0,943.0,1480,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1999
6640000970,307000,0.2258,0,0,943.0,1354,1.0,6,4,0,0,0,1,1,0,0,1.0,3,1.5,1985
6645001171,720000,0.3269,0,0,5407.0,2004,1.0,6,1,0,0,0,1,0,0,0,4.0,4,4.0,1995
6661000670,160000,0.2134,0,1,91.0,672,1.0,6,1,1,0,0,1,0,0,1,1.0,1,1.0,1987
6661000810,305000,0.244,0,1,91.0,1680,1.0,6,5,0,1,1,1,1,0,1,2.0,3,2.0,1990
6661001870,93000,0.2405,0,0,91.0,1343,0.5,6,5,0,0,0,1,1,0,0,1.0,3,1.75,2019
6661200320,20000,0.3169,0,0,91.0,1432,1.0,6,5,0,0,0,1,1,0,0,1.0,3,1.75,2018
6661200420,236000,0.2152,0,0,91.0,1768,1.0,6,5,0,0,0,1,0,0,0,2.0,3,2.5,2007
6661200870,231750,0.2696,0,0,91.0,1194,1.0,6,4,0,0,0,1,1,0,1,1.0,3,2.0,2000
6661201840,160000,0.2068,0,0,91.0,960,1.0,6,5,0,0,0,0,0,0,0,1.0,2,2.0,2016
6661202040,175000,0.2088,1,0,91.0,1296,1.0,6,5,0,0,0,0,0,0,0,1.0,3,2.0,2017
6661202550,200000,0.2198,0,0,91.0,1296,1.0,6,5,0,0,0,1,0,0,0,1.0,3,2.0,2017
6664020100,181650,0.1549,0,0,943.0,1336,1.0,5,3,0,0,0,1,1,0,0,2.0,4,1.5,1983
