Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_libraries,near_policestation,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built,near_hospital,near_private_school,near_elementary_school,near_high_school,near_college
5580300180,229000,0.2382,0,0,5407.0,1,0,0,1,0,1225,1.0,6,3,0,0,0,1,0,0,1,1.0,3,1.0,1980,1,1,1,1,0
5580500410,313000,0.2661,0,0,5407.0,1,0,0,1,0,2044,1.0,6,4,0,0,0,1,0,1,1,2.0,5,1.5,1980,1,1,1,1,0
5580500510,260000,0.2369,0,0,5407.0,1,0,0,1,0,2224,1.0,6,4,0,0,0,0,0,0,1,1.0,4,1.0,1981,1,1,1,1,0
5590000570,310000,0.2809,0,0,5407.0,1,0,0,0,0,2327,1.0,6,4,0,0,0,0,0,0,1,1.0,4,2.25,1988,1,1,1,1,0
5610100200,335000,0.2809,0,0,5407.0,0,0,0,0,0,1566,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1992,1,1,1,1,0
5620001310,205000,0.1377,0,0,943.0,0,1,1,1,0,816,1.0,6,3,0,1,0,1,0,1,1,1.0,2,1.0,1958,1,1,1,1,1
5620001440,315000,0.1377,0,0,943.0,0,1,1,1,0,1464,1.0,6,5,0,1,0,1,0,0,1,1.0,4,1.0,1985,1,1,1,1,1
5620001520,330500,0.1377,0,0,943.0,0,1,1,1,0,1467,1.0,6,4,0,0,0,0,0,0,1,1.0,4,1.0,1978,1,1,1,1,1
5620001670,340000,0.1377,0,0,943.0,0,1,1,1,0,1220,1.0,6,5,0,1,0,1,0,1,1,1.0,3,1.0,1968,1,1,1,1,1
5620001780,266000,0.1377,0,0,943.0,0,1,1,1,0,1544,1.0,6,4,0,0,0,0,0,0,1,1.5,3,1.75,1988,1,1,1,1,1
5620002000,219000,0.1239,0,0,943.0,0,1,1,1,0,1206,1.0,6,4,0,0,0,0,0,0,1,1.0,2,1.0,1978,1,1,1,1,1
5580300100,282500,0.2536,0,0,5407.0,1,1,0,1,0,1534,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1979,1,1,1,1,0
5580400060,328000,0.3535,0,0,5407.0,1,0,0,1,0,2646,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.5,1988,1,1,1,1,0
5580500520,267000,0.264,0,0,5407.0,1,0,0,1,0,1878,1.0,6,4,0,0,0,1,0,0,1,1.0,4,2.5,1990,1,1,1,1,0
5610100010,250000,0.2772,0,0,5407.0,0,0,0,0,0,1499,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.5,1992,1,1,1,1,0
5620001030,344000,0.1101,0,0,943.0,0,1,1,1,0,1791,1.0,6,4,0,0,0,0,0,0,0,1.5,5,1.5,2007,1,1,1,1,1
5620002140,299000,0.132,0,0,943.0,0,1,1,1,0,1040,1.0,6,4,0,0,0,0,0,0,0,1.0,4,1.0,1992,1,1,1,1,1
5620002170,280000,0.132,0,0,943.0,0,1,1,1,0,1400,1.0,6,4,0,0,0,0,0,0,0,1.0,3,1.0,1986,1,1,1,1,1
5620002450,306000,0.1297,0,0,943.0,0,1,1,1,0,1084,1.0,6,4,0,0,0,0,0,0,0,1.0,3,1.5,1987,1,1,1,1,1
5625001220,183000,0.1515,0,0,943.0,0,1,1,1,0,1008,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1981,1,1,1,1,1
5625001797,252000,0.1377,0,0,943.0,0,1,0,1,0,1192,1.0,6,4,0,0,0,0,0,0,0,2.0,3,1.0,1997,1,1,1,1,1
5625001824,280000,0.2066,0,0,943.0,0,1,0,1,0,1012,1.0,6,4,0,0,0,1,1,0,0,1.0,4,1.75,2000,1,1,1,1,1
5625002211,235000,0.1377,0,0,943.0,0,1,0,1,0,1307,1.0,6,4,0,0,0,1,0,0,1,1.0,3,1.75,1983,1,1,1,1,1
5625002245,245000,0.1377,0,0,943.0,0,1,0,1,0,1280,1.0,6,4,0,0,0,0,1,0,0,1.0,2,1.0,1996,1,1,1,1,1
5625002288,280000,0.1377,0,0,943.0,0,1,0,1,0,1336,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2002,1,1,1,1,1
5625002480,237500,0.1331,0,0,943.0,0,1,0,1,0,1684,1.0,6,4,0,0,0,0,0,0,1,2.5,3,1.5,1971,1,1,1,1,1
5625003261,299999,0.3443,0,0,943.0,0,1,0,0,0,2733,1.0,6,4,0,0,0,1,1,0,1,2.0,4,1.75,1980,1,1,1,1,1
5630000710,194900,0.1377,0,0,943.0,0,1,1,1,0,1650,1.0,4,4,0,0,0,0,0,0,0,1.0,3,1.0,1979,1,1,1,1,1
5640000654,266000,0.1983,0,0,1275.0,0,1,1,1,0,882,1.0,6,4,0,0,0,0,0,0,0,1.0,2,1.0,1992,1,1,1,1,0
5660200070,295500,0.1434,0,0,943.0,0,1,1,1,0,1019,1.0,6,4,1,1,0,0,0,0,0,1.0,4,1.5,1973,1,1,1,1,1
5660200080,227500,0.1434,0,0,943.0,0,1,1,1,0,1092,1.0,6,3,0,0,0,1,0,0,1,1.0,2,1.0,1973,1,1,1,1,1
5660200140,275000,0.1434,0,0,943.0,0,1,1,1,0,1140,1.0,6,4,0,0,0,1,1,0,0,1.0,3,2.0,1998,1,1,1,1,1
5670000650,246750,0.0573,0,0,943.0,0,1,1,1,0,856,1.0,6,4,0,0,0,1,0,1,0,1.0,2,2.0,2000,1,1,1,1,1
5670000770,135000,0.1147,0,0,943.0,0,1,1,1,0,1220,1.0,3,2,0,0,0,0,0,0,0,1.0,2,1.0,1908,1,1,1,1,1
5580200030,187500,0.2104,0,0,5407.0,1,0,0,1,0,910,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1979,1,1,1,1,0
5590000520,250000,0.2692,0,0,5407.0,1,0,0,0,0,1414,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.5,1978,1,1,1,1,0
5590000540,255000,0.2739,0,0,5407.0,1,0,0,0,0,1300,1.0,6,4,0,0,0,1,1,1,1,1.0,3,1.5,1984,1,1,1,1,0
5610100020,340000,0.3305,0,0,5407.0,0,0,0,0,0,1742,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2004,1,1,1,1,0
5610100770,315000,0.2871,0,0,5407.0,0,0,0,0,0,1766,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1991,1,1,1,1,0
5620001000,282000,0.1101,0,0,943.0,0,1,1,1,0,1281,1.0,6,4,0,0,0,0,0,0,1,1.0,4,1.75,1970,1,1,1,1,1
5620001280,282500,0.1377,0,0,943.0,0,1,1,1,0,1394,1.0,6,4,0,0,0,0,0,0,1,1.0,4,1.5,1971,1,1,1,1,1
5620001630,255000,0.1377,0,0,943.0,0,1,1,1,0,1362,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.0,1985,1,1,1,1,1
5620001880,257000,0.1377,0,0,943.0,0,1,1,1,0,1112,1.0,6,3,0,0,0,0,0,0,1,1.0,2,1.0,1975,1,1,1,1,1
5620001960,250000,0.1377,0,0,943.0,0,1,1,1,0,1674,1.0,6,4,0,0,0,0,0,0,0,1.5,3,1.75,1972,1,1,1,1,1
5620002150,273000,0.132,0,0,943.0,0,1,1,1,0,2204,1.0,6,3,0,0,0,0,0,0,1,3.0,2,1.75,1982,1,1,1,1,1
5620002420,275000,0.1193,0,0,943.0,0,1,1,1,0,1158,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.0,1971,1,1,1,1,1
5625000861,250000,0.1377,0,0,943.0,0,1,1,1,0,1687,1.0,6,3,0,0,0,0,0,0,0,1.0,3,1.0,1972,1,1,1,1,1
5625001180,220500,0.2066,0,0,943.0,0,1,1,1,0,1264,1.0,6,3,0,0,0,0,0,0,0,2.0,1,2.0,2000,1,1,1,1,1
5625001380,280000,0.1377,0,0,943.0,0,1,1,1,0,1624,1.0,6,4,0,0,0,1,1,0,1,1.0,3,2.0,1973,1,1,1,1,1
5625002184,285000,0.14,0,0,943.0,0,1,0,1,0,1508,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2003,1,1,1,1,1
5625002453,255000,0.1354,0,0,943.0,0,1,0,1,0,1046,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1995,1,1,1,1,1
5625002456,240000,0.1331,0,0,943.0,0,1,0,1,0,1341,1.0,6,4,0,0,0,1,0,0,1,1.0,3,1.0,1982,1,1,1,1,1
