Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
7685000540,321000,0.1492,0,0,943.0,1824,1.0,6,4,0,0,0,1,0,0,0,2.0,3,1.75,1976
7685001040,370000,0.1492,0,0,943.0,1642,1.0,6,5,0,1,0,1,0,0,1,1.5,4,1.0,2003
7685003570,155250,0.261,0,0,943.0,922,1.0,6,4,1,1,0,1,0,1,1,1.0,3,1.0,1986
7685003801,250000,0.1342,0,0,943.0,1464,1.0,6,4,0,0,0,1,0,0,1,2.0,3,1.75,1996
7685003910,145000,0.1492,0,0,943.0,1182,1.0,4,2,0,0,0,0,0,0,0,1.0,2,1.0,1950
7685004150,325000,0.1492,0,0,943.0,2256,1.0,4,2,0,0,0,0,0,0,0,1.5,4,1.0,1968
7685004610,365000,0.1492,0,0,943.0,1072,1.0,6,4,0,0,0,0,0,0,0,1.0,4,2.75,1982
7685004710,255000,0.0964,0,0,943.0,2008,1.0,6,4,0,1,1,1,0,0,2,2.0,5,2.5,2003
7685007120,365000,0.1492,0,0,943.0,2360,1.0,6,4,0,0,0,0,0,0,0,3.0,3,2.0,1980
7685007420,311000,0.1807,0,0,943.0,1037,1.0,6,4,0,1,1,0,0,0,0,1.0,2,1.0,1965
7714500010,260000,0.1546,0,0,943.0,1442,1.0,5,4,0,0,0,1,1,0,1,2.0,3,1.75,1990
7720001631,360000,0.2765,0,0,1351.0,2392,1.0,6,4,0,0,0,0,0,0,2,1.0,3,1.5,1976
7745000817,405000,0.1894,0,0,5407.0,2449,1.0,6,5,0,0,0,1,1,0,1,2.0,4,3.25,2014
7745001540,185000,0.3443,0,0,5407.0,1801,1.0,6,3,0,0,0,0,0,0,0,1.0,2,1.0,1972
7745001763,246400,0.0717,0,0,5407.0,1441,1.0,6,5,0,0,0,1,1,0,0,3.0,3,1.5,2007
7745001890,200000,0.2835,0,0,5407.0,1824,1.0,6,5,0,0,0,0,0,0,0,2.0,3,2.0,1988
7745003160,260000,0.3323,0,0,5407.0,1680,1.0,6,4,0,0,0,1,0,0,1,1.0,3,3.0,1974
7755001122,280000,0.1096,0,0,46.0,1281,1.0,6,5,0,0,0,1,1,0,0,2.0,3,2.5,2009
7755010852,285000,0.1851,0,0,46.0,1559,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.25,1994
7755011236,326000,0.1851,0,0,46.0,1472,1.0,6,5,0,0,0,1,1,0,1,1.0,4,1.75,1997
7755011861,295000,0.1851,0,0,46.0,1406,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.0,1989
7755012167,324000,0.2324,0,0,46.0,1736,1.0,6,5,0,0,0,1,1,0,2,2.0,3,1.75,1989
